log_price,price,review_scores_rating,has_availability,property_type,instant_bookable,number_of_reviews_ltm,availability_60,review_scores_checkin,room_type,neighbourhood_cleansed,accommodates,review_scores_cleanliness,beds,host_response_time,host_is_superhost,bedrooms,latitude,minimum_nights,reviews_per_month,availability_90,bathrooms_text,availability_365
3.784189633918261,44.0,91.0,True,14,True,4,9,10.0,0,20,3,9.0,1.0,3,False,1.0,43.68238,21,0.58,39,2,39
3.912023005428146,50.0,84.0,True,36,True,3,38,9.0,2,79,5,9.0,3.0,3,False,1.0,43.65574,28,1.32,68,3,226
4.07753744390572,59.0,87.0,True,36,False,1,40,9.0,2,79,5,8.0,3.0,3,False,1.0,43.65574,28,0.64,63,4,156
4.060443010546419,58.0,85.0,True,36,False,0,55,9.0,2,79,5,9.0,3.0,3,False,1.0,43.65574,28,0.98,62,5,133
4.653960350157523,105.0,100.0,True,8,False,0,0,10.0,0,87,2,10.0,1.0,1,False,1.0,43.63999,30,0.11,0,2,0
4.787491742782046,120.0,86.0,True,5,False,0,58,9.0,0,103,4,8.0,2.0,1,False,2.0,43.64436,30,0.1,88,2,363
4.007333185232471,55.0,83.0,True,36,False,2,48,8.0,2,79,2,8.0,1.0,3,False,1.0,43.65745,28,1.28,78,3,164
3.912023005428146,50.0,84.0,True,36,False,0,53,9.0,2,79,2,9.0,1.0,3,False,1.0,43.65574,28,0.32,68,3,165
4.8283137373023015,125.0,90.0,True,14,False,1,60,10.0,0,89,6,10.0,3.0,3,False,2.0,43.67079,14,0.17,90,5,365
4.290459441148391,73.0,99.0,True,23,False,0,59,10.0,2,34,3,10.0,1.0,0,False,1.0,43.65683,28,0.17,89,4,364
4.158883083359672,64.0,97.0,True,51,False,2,53,10.0,3,70,2,10.0,2.0,2,False,1.0,43.70819,1,0.84,73,4,234
4.499809670330265,90.0,93.0,True,36,False,0,60,10.0,2,34,4,10.0,1.0,0,False,1.0,43.65723,28,0.22,90,4,365
3.4339872044851463,31.0,100.0,True,36,False,1,0,10.0,2,14,1,10.0,1.0,2,True,1.0,43.67739,28,0.35,0,4,0
4.442651256490317,85.0,95.0,True,36,False,0,60,10.0,2,34,3,10.0,1.0,0,False,1.0,43.65741,28,0.22,90,11,365
5.2574953720277815,192.0,96.0,True,14,False,3,46,10.0,0,110,6,10.0,2.0,4,True,2.0,43.66602,3,1.26,76,2,76
4.605170185988092,100.0,95.0,True,14,False,3,3,10.0,0,109,5,9.0,2.0,4,False,2.0,43.63557,30,0.59,14,2,289
5.44673737166631,232.0,90.0,True,14,False,0,10,10.0,0,116,6,9.0,2.0,2,False,2.0,43.67262,28,0.04,40,5,130
5.8888779583328805,361.0,98.0,True,15,False,0,53,10.0,0,122,2,10.0,0.0,1,False,1.0,43.64226,28,0.11,83,2,358
4.564348191467836,96.0,94.0,True,11,False,0,28,10.0,0,28,2,10.0,1.0,3,True,1.0,43.67985,2,0.39,58,2,333
5.313205979041787,203.0,95.0,True,5,False,0,59,10.0,0,122,3,9.0,1.0,1,False,1.0,43.64362,28,0.14,89,2,89
5.081404364984463,161.0,92.0,True,5,False,0,59,10.0,0,62,2,10.0,1.0,1,True,1.0,43.65473,28,1.97,89,2,178
4.0943445622221,60.0,97.0,True,42,False,12,0,10.0,2,79,2,10.0,1.0,1,True,1.0,43.65612,28,7.52,11,4,234
5.857933154483459,350.0,97.0,True,14,False,0,0,10.0,0,103,6,10.0,3.0,1,False,3.0,43.64431,3,0.14,10,7,285
4.007333185232471,55.0,93.0,True,5,False,1,60,10.0,0,94,1,10.0,1.0,3,True,1.0,43.66075,30,0.07,90,2,365
4.418840607796598,83.0,100.0,True,21,False,0,60,10.0,2,104,2,9.0,1.0,3,True,1.0,43.67176,28,0.03,90,3,365
5.288267030694535,198.0,92.0,True,15,False,0,57,10.0,0,23,2,9.0,1.0,4,True,1.0,43.66429,4,0.63,63,2,316
5.043425116919247,155.0,100.0,True,8,False,0,58,10.0,0,129,2,10.0,1.0,2,False,1.0,43.76127,30,0.18,88,2,88
5.1647859739235145,175.0,100.0,True,8,False,0,58,10.0,0,122,2,10.0,1.0,2,False,1.0,43.64411,30,0.05,88,2,178
