log_price,price,availability_365,review_scores_cleanliness,bathrooms_text,instant_bookable,maximum_nights,reviews_per_month,host_response_time,latitude,bedrooms,accommodates,availability_30,longitude,availability_60,review_scores_checkin,host_is_superhost,minimum_nights,availability_90,neighbourhood_cleansed,beds,room_type,property_type,number_of_reviews_ltm,has_availability,review_scores_rating,review_scores_value,review_scores_accuracy
4.442651256490317,85.0,0,10.0,2,False,365,0.48,1,43.63677,1.0,2,0,-79.42099,0,10.0,False,28,0,109,1.0,0,15,0,True,94.0,9.0,10.0
4.3694478524670215,79.0,296,10.0,2,False,365,0.34,2,43.69431,1.0,2,8,-79.28563,38,10.0,True,7,43,91,1.0,0,11,3,True,99.0,10.0,10.0
4.2626798770413155,71.0,339,10.0,4,False,365,0.26,4,43.6404,1.0,2,4,-79.50505,34,10.0,True,2,64,113,1.0,2,24,1,True,96.0,9.0,10.0
5.521460917862246,250.0,355,9.0,7,False,30,0.15,3,43.6462,2.0,4,20,-79.43527,50,10.0,True,4,80,71,2.0,0,14,0,True,94.0,9.0,10.0
5.0106352940962555,150.0,308,9.0,2,False,1000,0.35,0,43.63748,1.0,2,0,-79.41404,3,9.0,False,28,33,87,1.0,0,5,1,True,93.0,9.0,9.0
4.0943445622221,60.0,365,9.0,2,False,365,0.24,3,43.72796,1.0,1,30,-79.40266,60,10.0,False,28,90,68,1.0,2,21,0,True,91.0,9.0,9.0
4.31748811353631,75.0,365,9.0,3,False,162,0.37,4,43.6619,1.0,2,30,-79.37727,60,10.0,True,28,90,23,1.0,2,36,1,True,93.0,9.0,10.0
5.991464547107982,400.0,285,9.0,7,False,365,0.5,3,43.66593,2.0,4,0,-79.37655,0,10.0,True,28,10,19,2.0,0,5,1,True,98.0,10.0,10.0
5.783825182329737,325.0,365,9.0,2,False,730,0.11,0,43.63462,2.0,5,30,-79.40154,60,10.0,False,60,90,87,3.0,0,18,0,True,93.0,9.0,9.0
4.499809670330265,90.0,227,8.0,2,False,365,0.25,4,43.66701,1.0,2,0,-79.40625,0,10.0,True,30,9,3,0.0,0,5,0,True,93.0,9.0,10.0
3.784189633918261,44.0,39,9.0,2,True,90,0.58,3,43.68238,1.0,3,0,-79.46038,9,10.0,False,21,39,20,1.0,0,14,4,True,91.0,9.0,9.0
3.912023005428146,50.0,226,9.0,3,True,365,1.32,3,43.65574,1.0,5,17,-79.37216,38,9.0,False,28,68,79,3.0,2,36,3,True,84.0,9.0,9.0
4.07753744390572,59.0,156,8.0,4,False,365,0.64,3,43.65574,1.0,5,10,-79.37216,40,9.0,False,28,63,79,3.0,2,36,1,True,87.0,9.0,9.0
4.060443010546419,58.0,133,9.0,5,False,365,0.98,3,43.65574,1.0,5,26,-79.37216,55,9.0,False,28,62,79,3.0,2,36,0,True,85.0,9.0,9.0
4.653960350157523,105.0,0,10.0,2,False,182,0.11,1,43.63999,1.0,2,0,-79.41465,0,10.0,False,30,0,87,1.0,0,8,0,True,100.0,10.0,10.0
4.787491742782046,120.0,363,8.0,2,False,62,0.1,1,43.64436,2.0,4,28,-79.4426,58,9.0,False,30,88,103,2.0,0,5,0,True,86.0,9.0,9.0
4.007333185232471,55.0,164,8.0,3,False,365,1.28,3,43.65745,1.0,2,21,-79.36995,48,8.0,False,28,78,79,1.0,2,36,2,True,83.0,8.0,8.0
3.912023005428146,50.0,165,9.0,3,False,365,0.32,3,43.65574,1.0,2,26,-79.37216,53,9.0,False,28,68,79,1.0,2,36,0,True,84.0,9.0,9.0
4.8283137373023015,125.0,365,10.0,5,False,365,0.17,3,43.67079,2.0,6,30,-79.3723,60,10.0,False,14,90,89,3.0,0,14,1,True,90.0,10.0,10.0
4.290459441148391,73.0,364,10.0,4,False,1125,0.17,0,43.65683,1.0,3,29,-79.44618,59,10.0,False,28,89,34,1.0,2,23,0,True,99.0,10.0,10.0
4.1588830833596715,64.0,234,10.0,4,False,365,0.84,2,43.70819,1.0,2,23,-79.37534,53,10.0,False,1,73,70,2.0,3,51,2,True,97.0,10.0,10.0
4.499809670330265,90.0,365,10.0,4,False,365,0.22,0,43.65723,1.0,4,30,-79.44668,60,10.0,False,28,90,34,1.0,2,36,0,True,93.0,10.0,9.0
3.4339872044851463,31.0,0,10.0,4,False,1125,0.35,2,43.67739,1.0,1,0,-79.33599,0,10.0,True,28,0,14,1.0,2,36,1,True,100.0,10.0,10.0
4.442651256490317,85.0,365,10.0,11,False,1125,0.22,0,43.65741,1.0,3,30,-79.4462,60,10.0,False,28,90,34,1.0,2,36,0,True,95.0,9.0,9.0
5.2574953720277815,192.0,76,10.0,2,False,28,1.26,4,43.66602,2.0,6,16,-79.33766,46,10.0,True,3,76,110,2.0,0,14,3,True,96.0,9.0,10.0
4.605170185988092,100.0,289,9.0,2,False,1125,0.59,4,43.63557,2.0,5,3,-79.43999,3,10.0,False,30,14,109,2.0,0,14,3,True,95.0,9.0,9.0
5.44673737166631,232.0,130,9.0,5,False,1125,0.04,2,43.67262,2.0,6,0,-79.30057,10,10.0,False,28,40,116,2.0,0,14,0,True,90.0,10.0,9.0
5.8888779583328805,361.0,358,10.0,2,False,112,0.11,1,43.64226,1.0,2,23,-79.40076,53,10.0,False,28,83,122,0.0,0,15,0,True,98.0,9.0,10.0
4.564348191467836,96.0,333,10.0,2,False,1125,0.39,3,43.67985,1.0,2,19,-79.34235,28,10.0,True,2,58,28,1.0,0,11,0,True,94.0,9.0,10.0
5.313205979041787,203.0,89,9.0,2,False,1125,0.14,1,43.64362,1.0,3,29,-79.38198,59,10.0,False,28,89,122,1.0,0,5,0,True,95.0,9.0,9.0
5.081404364984463,161.0,178,10.0,2,False,365,1.97,1,43.65473,1.0,2,29,-79.39811,59,10.0,True,28,89,62,1.0,0,5,0,True,92.0,9.0,9.0
